Organism Type,Bacteria Gram Stain,Species Code,Species Full Name,Reported Name ,CLSI Breakpoint Group,Other Group,CLSI Breakpoint Group Document,,,Pooled Name,Weighted Average Rule KEY,Reporting Rules,Weighted Average Rules
Bacteria,Negative,arcbut,Arcobacter butzleri,Arcobacter butzleri,Other Non-Enterobacterales,,M100,,,,,,
Filamentous Fungi,,arthsp,Arthrinium species,,,,,,,,,,
Bacteria,Positive,artspe,Arthrobacter species,Arthrobacter spp.,Coryneform Bacteria,,M45,,,,,,
Filamentous Fungi,,artspp,Arthrographis species,,,,,,,,,,
Filamentous Fungi,,canpin,Arxiozyma telluris (Candida pintolopesii),,,,,,,,,,
Helminth,,asclum,Ascaris lumbricoides,,,,,,,,,,
Filamentous Fungi,,aspcal,Aspergillus calidoustus,,,,,,,,,,
Filamentous Fungi,,aspfla,Aspergillus flavus,,,,,,,,,,
Filamentous Fungi,,aspfum,Aspergillus fumigatus,,,,,,,,,,
Filamentous Fungi,,aspfcx,Aspergillus fumigatus organism complex,,,,,,,,,,
Filamentous Fungi,,aspgla,Aspergillus glaucus (Eurotium herbariorum) group,,,,,,,,,,
Filamentous Fungi,,aspnid,Aspergillus nidulans,,,,,,,,,,
Filamentous Fungi,,aspnig,Aspergillus niger,,,,,,,,,,
Filamentous Fungi,,aspoch,Aspergillus ochraceus,,,,,,,,,,
Filamentous Fungi,,aspspe,Aspergillus species,,,,,,,,,,
Filamentous Fungi,,aspfnf,Aspergillus species (not fumigatus niger or flavus),,,,,,,,,,
Filamentous Fungi,,aspnfn,Aspergillus species (not fumigatus or niger),,,,,,,,,,
Filamentous Fungi,,aspsyd,Aspergillus sydowii,,,,,,,,,,
Filamentous Fungi,,aspter,Aspergillus terreus,,,,,,,,,,
Filamentous Fungi,,aspust,Aspergillus ustus,,,,,,,,,,
Filamentous Fungi,,aspver,Aspergillus versicolor,,,,,,,,,,
Virus,,73astro,Astrovirus,,,,,,,,,,
Bacteria,Positive,atopar,Atopobium parvulum,Atopobium parvulum,Anaerobes,,M100,,,,,,
Bacteria,Positive,aurspe,Aureobacterium species,Aureobacterium spp.,Coryneform Bacteria,,M45,,,,,,
Filamentous Fungi,,aurpul,Aureobasidium pullulans,,,,,,,,,,
Parasite,,babspp,Babesia species,,,,,,,,,,
Bacteria,Positive,bacalv,Bacillus alvei,Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,bacaml,Bacillus amyloliquefaciens,Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,bacant,Bacillus anthracis,Bacillus anthracis,Bioterrorism Agents,,M45,,,,,,
Bacteria,Positive,baccer,Bacillus cereus,Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,baccgp,Bacillus cereus group (not B.anthracis),Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,baccir,Bacillus circulans,Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,baccoa,Bacillus coagulans,Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,bacfir,Bacillus firmus,Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,baclat,Bacillus laterosporus,Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,baclen,Bacillus lentus,Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,baclic,Bacillus licheniformis,Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,bacmac,Bacillus macerans,Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,bacpan,Bacillus pantothenticus,Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,bacpol,Bacillus polymyxa,Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,bacpum,Bacillus pumilus,Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,bacsim,Bacillus simplex,Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,bacspe,Bacillus species,Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,bacnba,Bacillus species (not B.anthracis),Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,bacsph,Bacillus sphaericus,Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,bacste,Bacillus stearothermophilus,Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,bacsub,Bacillus subtilis,Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,bacsug,Bacillus subtilis (globigii),Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,bacsua,Bacillus subtilis var. atterimus,Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,bacsun,Bacillus subtilis var. niger,Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,bactho,Bacillus thermoliticus,Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Positive,bacthu,Bacillus thuringiensis,Bacillus species (other than B. anthracis),Bacillus,,M45,,,,,,
Bacteria,Negative,baccac,Bacteroides caccae,Bacteroides species (not B. fragilis group),Anaerobes,,M100,,,,,,
Bacteria,Negative,bacegg,Bacteroides eggerthii,Bacteroides species (not B. fragilis group),Anaerobes,,M100,,,,,,
Bacteria,Negative,bacfra,Bacteroides fragilis,Bacteroides fragilis group,Anaerobes,,M100,,,,,,
Bacteria,Negative,bfrgp,Bacteroides fragilis group,Bacteroides fragilis group,Anaerobes,,M100,,,,,,
Bacteria,Negative,bacgra,Bacteroides gracilis,Bacteroides species (not B. fragilis group),Anaerobes,,M100,,,,,,
Bacteria,Negative,bacmer,Bacteroides merdae,Bacteroides species (not B. fragilis group),Anaerobes,,M100,,,,,,
Bacteria,Negative,bacova,Bacteroides ovatus,Bacteroides fragilis group,Anaerobes,,M100,,,,,,
Bacteria,Negative,bctspc,Bacteroides species,Bacteroides species (not B. fragilis group),Anaerobes,,M100,,,,,,
Bacteria,Negative,bspo,Bacteroides species (not B. fragilis group),Bacteroides species (not B. fragilis group),Anaerobes,,M100,,,,,,
Bacteria,Negative,bacspl,Bacteroides splanchnicus,Bacteroides species (not B. fragilis group),Anaerobes,,M100,,,,,,
Bacteria,Negative,bacstr,Bacteroides stercoris,Bacteroides species (not B. fragilis group),Anaerobes,,M100,,,,,,
